,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
40998,Seychelles,2014,SYC,98016.0,2231000064.0,0.0,0.0,0.458,0.044,10.619,,,,,,,4.673,0.205,0.105,0.0,0.0,,,,0.0,10.175,,0.0,0.0,0.0,,10.175,,44650.082,1.962,0.0,0.0,0.0,0.0,6.121,6.121,,,0.09,0.918,0.0,0.0,0.458,4.673,,,4.376,0.0,0.001,,0.0,0.0,0.001,,0.0,0.0,0.0,,0.002,,0.0,0.0,,0.004,,0.001,0.0,0.0,0.0,0.0,0.6,0.6,,
41270,Sierra Leone,2014,SLE,7140700.0,11528208384.0,0.0,0.0,1.11,0.103,10.182,15.51,-3.488,-18.361,2.172,1.345,2.923,0.155,0.096,0.209,0.0,0.0,,,,0.0,30.613,2772.311,0.864,0.0,0.0,2741.698,29.749,,743.0,0.46,0.0,0.0,0.0,0.0,0.976,1.456,14.4,2.017,4.18,0.585,1.62,0.227,1.11,0.155,,,5.306,0.0,0.003,0.038,0.0,0.0,0.002,0.127,0.0,0.0,0.0,0.385,0.006,,0.0,0.0,0.293,0.01,,0.059,0.0,0.001,0.001,0.0,10.4,6.97,,
41542,Singapore,2014,SGP,5570505.0,365521141760.0,0.0,0.0,52.252,1.37,2.693,53.132,1.81,3.527,9.538,0.145,0.064,9.38,0.143,0.063,1.678,0.301,189.989,34.106,0.52,0.0,1833.865,1893.002,9.026,0.0,206.021,59.137,1618.819,,148692.516,2.266,0.0,0.0,19.214,3.449,10.889,10.881,0.879,0.158,3.72,0.668,8.06,1.447,31.36,5.63,,,828.292,0.0,0.147,0.131,0.011,0.0,0.124,0.086,0.001,0.0,0.102,0.008,0.31,,0.0,0.289,0.018,0.269,,0.073,0.0,0.001,0.001,0.0,60.61,60.66,137.736,263.599
41714,Sint Maarten (Dutch part),2014,SXM,39124.0,,0.0,0.0,0.725,0.011,1.538,0.725,0.011,1.538,18.543,,,18.543,,,0.0,0.0,,,,0.0,65.481,65.664,0.0,0.0,0.0,0.183,65.481,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.725,18.543,,,,0.0,0.002,0.002,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.0,0.013,,0.0,0.0,0.0,0.006,,0.002,,0.0,0.0,,,,,
41886,Slovakia,2014,SVK,5419572.0,127551856640.0,1.267,0.234,33.656,-1.909,-5.369,35.452,-4.071,-10.301,6.541,0.278,0.196,6.21,0.264,0.186,14.084,2.599,39.606,7.308,0.311,79.597,3692.527,4157.232,2582.087,0.6,441.313,516.367,562.516,26.415,33419.594,1.42,0.028,0.005,8.486,1.566,6.866,5.464,1.795,0.331,4.08,0.753,2.01,0.371,8.866,1.636,0.171,0.926,181.12,0.084,0.095,0.088,0.094,0.233,0.249,0.19,0.368,0.004,0.218,0.073,0.108,0.349,0.007,0.128,0.037,0.076,0.304,0.146,0.0,0.002,0.002,0.0,29.61,37.21,5.95,17.679
42058,Slovenia,2014,SVN,2074923.0,52794142720.0,0.418,0.202,13.568,-1.565,-10.342,17.196,-1.748,-9.229,8.287,0.326,0.207,6.539,0.257,0.164,4.505,2.171,17.621,8.493,0.334,25.245,767.847,1026.819,340.41,3.719,57.513,348.483,337.083,3.877,39987.75,1.572,0.111,0.053,1.488,0.717,7.716,6.448,3.627,1.748,1.74,0.839,0.79,0.381,6.947,3.348,0.048,0.099,82.972,0.028,0.038,0.042,0.03,0.074,0.052,0.047,0.048,0.024,0.028,0.049,0.065,0.051,0.029,0.022,0.074,0.059,0.032,0.043,0.0,0.0,0.001,0.0,13.38,16.01,4.053,29.873
42230,Solomon Islands,2014,SLB,597386.0,,0.0,0.0,0.33,-0.044,-11.765,5.459,-2.352,-30.113,9.139,,3.592,0.552,,0.217,0.0,0.0,,,,0.0,8.68,125.562,0.0,0.0,0.0,133.626,8.68,,2543.96,,0.0,0.0,0.0,0.0,1.339,-28.491,5.13,8.587,0.37,0.619,0.02,0.033,0.33,0.552,,,1.52,0.0,0.001,0.013,0.0,0.0,0.001,0.006,0.0,0.0,0.0,0.019,0.002,,0.0,0.0,0.104,0.003,,0.003,0.0,0.0,0.0,0.0,-17.02,0.8,,
42402,Somalia,2014,SOM,13309236.0,,,,0.63,0.0,0.0,16.935,-1.979,-10.461,1.272,,4.957,0.047,,0.184,0.0,0.0,,,,,29.12,807.024,0.0,0.0,0.0,931.572,29.015,,256.698,,0.0,0.0,0.0,0.0,1.932,3.235,16.305,1.225,18.28,1.373,6.55,0.492,0.63,0.047,,,3.416,,0.002,0.042,0.0,,0.002,0.037,0.0,0.0,0.0,0.131,0.006,,0.0,0.0,0.332,0.005,,0.095,0.001,0.0,0.001,0.0,43.06,25.71,,
42574,South Africa,2014,ZAF,54729556.0,648455192576.0,4.911,0.09,471.866,13.238,2.886,473.258,9.83,2.121,8.647,0.73,0.327,8.622,0.728,0.326,399.204,7.294,335.49,6.13,0.517,216.739,18348.604,25341.496,15910.595,0.177,136.191,7378.747,2084.903,,26411.893,2.229,0.052,0.001,9.043,0.165,10.248,10.366,1.392,0.025,80.01,1.462,19.97,0.365,58.657,1.072,,,1445.511,0.327,1.326,1.169,2.652,0.635,1.237,1.157,2.267,0.001,0.067,1.037,0.4,,0.013,0.136,0.028,0.502,,1.033,0.004,0.01,0.015,0.001,567.33,560.86,-136.376,-28.901
42846,South America,2014,,409128901.0,,49.797,0.122,1229.192,19.198,1.587,2800.242,-83.468,-2.894,6.844,0.45,0.388,3.004,0.198,0.171,120.822,0.295,1316.249,3.217,0.211,1327.39,36601.84,192528.953,4073.671,1998.897,6270.41,173467.906,22806.576,124.893,17710.314,,41.795,0.102,279.008,0.682,6.025,7.662,1571.16,3.84,962.3,2.352,306.0,0.748,731.492,1.788,0.015,6.278,7245.801,3.32,3.455,6.915,0.803,3.889,2.467,8.79,0.58,12.793,3.097,24.38,4.372,1.648,10.775,4.193,31.949,6.263,2.059,9.209,0.042,0.085,0.132,0.006,3134.78,2465.05,87.057,7.082
43018,South America (GCP),2014,,,,,,1229.192,,,,,,,,,,,,,,1322.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43190,South Korea,2014,KOR,50558044.0,1750416228352.0,25.412,0.503,629.366,-5.214,-0.822,624.677,-5.178,-0.822,12.356,0.357,0.192,12.448,0.36,0.193,331.304,6.553,673.788,13.327,0.385,784.546,14471.322,14431.349,6134.91,0.117,1319.412,11.139,6090.639,141.699,64414.168,1.861,0.0,0.0,101.445,2.007,13.112,12.114,-4.69,-0.093,23.47,0.464,9.61,0.19,161.534,3.195,0.191,9.672,3256.654,1.694,1.769,1.543,2.201,2.299,0.976,0.659,0.874,0.001,0.652,0.002,1.168,1.87,0.0,1.524,-0.095,1.383,3.172,0.6,0.001,0.007,0.009,0.0,612.48,662.92,44.422,7.058
43362,South Sudan,2014,SSD,11213286.0,,0.0,0.0,1.524,0.081,5.584,26.623,-4.463,-14.356,2.374,,4.076,0.136,,0.233,0.0,0.0,,,,0.0,29.369,1277.218,0.109,0.0,0.0,1669.978,29.26,,582.462,,0.0,0.0,0.0,0.0,4.892,5.58,25.098,2.238,31.9,2.845,22.52,2.008,1.524,0.136,,,6.531,0.0,0.004,0.066,0.0,0.0,0.002,0.058,0.0,0.0,0.0,0.235,0.006,,0.0,0.0,0.51,0.013,,0.165,0.001,0.0,0.002,0.001,62.57,54.85,,
43554,Spain,2014,ESP,46464548.0,1450312204288.0,8.897,0.191,255.459,2.356,0.931,239.777,1.294,0.543,5.16,0.165,0.154,5.498,0.176,0.164,54.142,1.165,282.695,6.084,0.195,641.405,13322.891,15604.269,4593.294,57.806,1212.622,2283.625,6725.669,92.095,33478.238,1.073,4.065,0.087,54.292,1.168,6.773,6.604,-15.682,-0.338,37.0,0.796,20.37,0.438,131.139,2.822,0.063,2.925,1555.551,0.593,0.718,0.592,0.36,1.879,0.898,0.712,0.654,0.37,0.599,0.321,1.289,1.215,1.048,0.816,-0.319,1.123,0.959,0.624,0.002,0.006,0.009,0.001,306.84,314.69,27.236,10.662
43726,Sri Lanka,2014,LKA,21239448.0,215248519168.0,0.719,0.034,17.691,3.012,20.519,29.892,-0.506,-1.663,1.407,0.139,0.351,0.833,0.082,0.208,3.88,0.183,32.484,1.529,0.151,17.847,369.463,1901.418,21.493,0.0,0.0,2737.338,330.123,,4007.714,0.395,0.0,0.0,0.0,0.0,1.383,1.412,12.201,0.574,8.0,0.377,3.12,0.147,13.091,0.616,,,85.122,0.048,0.05,0.074,0.026,0.052,0.025,0.087,0.003,0.0,0.0,0.385,0.063,,0.0,0.0,0.248,0.112,,0.102,0.001,0.001,0.001,0.0,30.0,29.38,14.793,83.62
43921,St. Kitts-Nevis-Anguilla (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
44093,Sudan,2014,SDN,37003248.0,,1.348,0.036,17.536,0.528,3.103,88.581,-9.182,-9.392,2.394,,1.006,0.474,,0.199,0.0,0.0,,,,10.531,325.293,2478.992,1.286,2.398,0.0,2556.629,311.078,,2378.84,,0.891,0.024,0.0,0.0,2.69,3.271,71.045,1.92,55.04,1.487,27.74,0.75,15.297,0.413,,,88.025,0.09,0.049,0.219,0.0,0.031,0.022,0.113,0.0,0.015,0.0,0.359,0.06,,0.23,0.0,1.445,0.131,,0.281,0.002,0.001,0.004,0.001,121.05,99.53,,
44265,Suriname,2014,SUR,569687.0,,0.028,0.048,2.886,0.046,1.617,5.377,-1.493,-21.732,9.439,,0.47,5.065,,0.252,0.0,0.0,,,,1.194,100.459,266.072,1.378,0.026,0.103,220.536,97.759,,20081.727,,0.004,0.006,0.007,0.013,7.636,22.117,2.492,4.373,1.4,2.457,0.27,0.474,2.847,4.997,,,11.44,0.002,0.008,0.013,0.0,0.003,0.007,0.012,0.0,0.0,0.0,0.031,0.019,,0.001,0.0,0.051,0.024,,0.011,0.0,0.0,0.0,0.0,12.6,4.35,,
44437,Svalbard and Jan Mayen,2014,SJM,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
44621,Sweden,2014,SWE,9747507.0,411859910656.0,1.399,0.144,43.478,-1.873,-4.131,46.812,-1.507,-3.119,4.802,0.114,0.077,4.46,0.106,0.071,8.116,0.833,73.26,7.516,0.178,101.739,4741.237,7867.263,1455.289,12.944,58.665,3127.004,3096.833,15.766,62421.891,1.477,0.773,0.079,2.062,0.212,5.221,2.946,3.334,0.342,5.41,0.555,5.37,0.551,30.554,3.135,0.059,0.574,608.458,0.093,0.122,0.116,0.054,0.298,0.32,0.359,0.207,0.083,0.029,0.439,0.594,0.208,0.199,0.031,0.068,0.262,0.188,0.252,0.001,0.003,0.004,0.0,28.72,50.89,29.782,68.499
44793,Switzerland,2014,CHE,8187792.0,495886106624.0,1.88,0.23,39.234,-3.954,-9.156,38.537,-4.101,-9.617,4.707,0.078,0.112,4.792,0.079,0.114,0.603,0.074,140.141,17.116,0.283,126.1,2800.817,3031.942,588.688,1.049,182.752,258.972,1896.479,5.748,41980.578,0.693,0.033,0.004,6.355,0.776,5.999,5.729,-0.696,-0.085,5.28,0.645,2.46,0.3,30.166,3.684,0.024,0.196,343.728,0.125,0.11,0.095,0.004,0.369,0.189,0.138,0.084,0.007,0.09,0.036,0.364,0.076,0.009,0.096,-0.014,0.258,0.064,0.115,0.0,0.001,0.002,0.0,46.91,49.12,100.907,257.195
44965,Syria,2014,SYR,20072232.0,66107252736.0,0.646,0.032,30.921,-3.093,-9.092,30.591,-3.569,-10.447,1.524,0.463,0.223,1.54,0.468,0.226,0.004,0.0,,,,69.023,1687.167,2132.489,0.601,79.613,250.613,512.41,1287.316,,6826.982,2.073,0.732,0.036,9.086,0.453,2.442,2.408,-0.33,-0.016,17.02,0.848,3.38,0.168,20.454,1.019,,,137.033,0.043,0.087,0.076,0.0,0.202,0.114,0.097,0.0,0.51,0.124,0.072,0.247,,0.189,0.137,-0.007,0.175,,0.145,0.001,0.001,0.002,0.0,48.33,49.01,,
45137,Taiwan,2014,TWN,23422504.0,960945848320.0,7.088,0.303,276.311,2.514,0.918,279.096,1.525,0.549,11.916,0.29,0.208,11.797,0.288,0.205,161.785,6.907,294.385,12.568,0.306,364.328,7375.279,8109.325,3509.893,0.193,515.904,756.14,2950.092,34.87,57422.891,1.4,0.053,0.002,37.59,1.605,,,2.785,0.119,,,,,68.156,2.91,0.07,1.64,1344.988,0.473,0.777,0.689,1.075,1.067,0.497,0.37,0.5,0.001,0.255,0.106,0.566,0.46,0.014,0.565,0.057,0.584,0.538,0.302,0.001,0.004,0.004,0.0,,,18.074,6.541
45313,Tajikistan,2014,TJK,8326354.0,29249296384.0,0.562,0.067,4.6,1.693,58.249,4.124,1.73,72.261,0.495,0.141,0.065,0.552,0.157,0.073,1.479,0.178,19.892,2.389,0.68,9.954,429.263,543.653,101.779,2.092,83.192,117.688,232.246,,7586.009,2.159,0.0,0.0,0.007,0.001,1.42,1.372,-0.476,-0.057,5.02,0.603,1.86,0.223,2.552,0.306,,,63.164,0.037,0.013,0.01,0.01,0.029,0.029,0.025,0.014,0.013,0.041,0.017,0.045,,0.0,0.0,-0.01,0.022,,0.038,0.0,0.0,0.001,0.0,11.42,11.82,15.292,332.417
45485,Tanzania,2014,TZA,50814552.0,124481503232.0,1.088,0.021,9.898,-0.012,-0.124,130.92,-11.481,-8.062,2.576,1.052,2.563,0.195,0.08,0.194,0.652,0.013,18.795,0.37,0.151,15.494,176.149,7033.691,4.659,0.045,13.745,9413.292,142.204,,1005.088,0.41,0.002,0.0,1.74,0.034,1.536,2.682,121.022,2.382,44.18,0.869,29.04,0.571,6.416,0.126,,,51.073,0.073,0.028,0.323,0.004,0.045,0.012,0.321,0.001,0.0,0.007,1.323,0.027,,0.0,0.026,2.461,0.055,,0.41,0.002,0.004,0.006,0.0,136.29,78.03,8.897,89.883
45657,Thailand,2014,THA,69960944.0,975956344832.0,19.722,0.282,285.98,-4.385,-1.51,391.686,-20.396,-4.95,5.599,0.401,0.29,4.088,0.293,0.212,60.866,0.87,261.079,3.732,0.268,472.498,5784.15,21391.289,1017.684,2.547,1184.74,20582.299,3106.682,,19310.582,1.384,0.742,0.011,86.59,1.238,5.431,5.486,105.706,1.511,76.76,1.097,22.78,0.326,118.06,1.688,,,1350.987,1.315,0.804,0.967,0.404,1.384,0.39,0.977,0.145,0.016,0.585,2.893,0.596,,0.191,1.301,2.15,1.011,,0.909,0.005,0.008,0.013,0.0,383.84,379.98,-24.901,-8.707
45829,Togo,2014,TGO,7288381.0,9806233600.0,0.435,0.06,1.542,-0.101,-6.128,5.279,-0.943,-15.161,0.724,0.538,0.634,0.212,0.157,0.185,0.0,0.0,1.59,0.218,0.162,15.184,52.959,481.318,0.0,0.0,0.161,927.688,37.615,,1142.697,0.849,0.0,0.0,0.073,0.01,0.855,0.984,3.737,0.513,2.53,0.347,1.54,0.211,1.033,0.142,,,8.328,0.029,0.004,0.013,0.0,0.044,0.004,0.022,0.0,0.0,0.0,0.13,0.007,,0.0,0.001,0.076,0.009,,0.028,0.0,0.0,0.0,0.0,7.17,6.23,0.048,3.137
46001,Tonga,2014,TON,106639.0,,0.0,0.0,0.114,0.0,0.0,0.15,0.0,0.0,1.409,,0.274,1.065,,0.207,0.0,0.0,,,,0.0,3.55,5.859,0.0,0.0,0.0,2.748,3.55,,5144.916,,0.0,0.0,0.0,0.0,2.438,2.438,0.037,0.344,0.09,0.844,0.05,0.469,0.114,1.065,,,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.001,0.001,,0.001,0.0,0.0,0.0,0.0,0.26,0.26,,
46173,Trinidad and Tobago,2014,TTO,1450663.0,37742333952.0,0.324,0.224,46.892,1.068,2.331,46.379,1.141,2.523,31.971,1.229,0.202,32.324,1.242,0.205,0.0,0.0,19.255,13.273,0.51,11.106,1329.831,1318.656,0.231,108.401,809.438,73.39,400.655,,157936.938,6.07,0.507,0.35,41.301,28.47,22.769,22.845,-0.513,-0.354,8.11,5.591,0.42,0.29,4.76,3.281,,,229.113,0.022,0.132,0.115,0.0,0.033,0.09,0.06,0.0,0.694,0.4,0.01,0.077,,0.131,0.621,-0.01,0.041,,0.087,0.001,0.001,0.001,0.0,33.14,33.03,-27.637,-58.938
46345,Tunisia,2014,TUN,11428953.0,121400631296.0,3.634,0.318,28.668,1.088,3.943,26.983,0.941,3.613,2.361,0.222,0.248,2.508,0.236,0.264,0.0,0.0,21.206,1.855,0.175,86.18,728.821,1181.252,14.601,10.115,184.052,546.046,433.873,,9507.342,0.895,1.126,0.099,12.057,1.055,3.624,3.964,-1.685,-0.147,7.41,0.648,3.18,0.278,11.851,1.037,,,108.659,0.242,0.081,0.067,0.0,0.253,0.049,0.054,0.002,0.065,0.091,0.077,0.083,,0.29,0.181,-0.034,0.101,,0.074,0.0,0.001,0.001,0.0,45.31,41.42,-7.462,-26.028
46517,Turkey,2014,TUR,78112064.0,1570585313280.0,34.498,0.442,363.866,16.714,4.814,339.867,12.5,3.818,4.351,0.216,0.232,4.658,0.232,0.249,130.305,1.668,399.609,5.116,0.254,644.271,8437.003,14575.925,3532.161,4.364,1101.971,6362.609,3057.038,97.198,18718.594,0.931,0.145,0.002,93.537,1.197,5.437,4.673,-23.999,-0.307,46.62,0.597,30.61,0.392,98.998,1.267,0.082,6.383,1462.148,2.3,1.023,0.839,0.866,1.888,0.569,0.665,0.503,0.028,0.544,0.894,0.586,1.283,0.038,1.406,-0.488,0.848,2.094,0.578,0.003,0.005,0.008,0.001,365.03,424.7,35.743,9.823
46693,Turkmenistan,2014,TKM,5663159.0,111420612608.0,1.107,0.195,71.776,1.167,1.653,71.19,1.277,1.827,12.571,0.639,0.256,12.674,0.644,0.258,0.0,0.0,,,,28.329,1977.536,2165.865,80.133,18.636,1011.617,191.847,838.82,,49096.004,2.495,3.743,0.661,46.947,8.29,26.722,26.722,-0.586,-0.104,76.04,13.427,3.48,0.614,19.98,3.528,,,278.038,0.074,0.202,0.176,0.0,0.083,0.133,0.099,0.011,0.119,0.5,0.027,0.161,,0.965,0.705,-0.012,0.171,,0.21,0.002,0.001,0.003,0.0,151.33,151.33,,
46865,Turks and Caicos Islands,2014,TCA,35014.0,,0.0,0.0,0.308,0.022,7.692,0.344,0.022,6.818,9.837,,0.416,8.79,,0.372,0.0,0.0,,,,0.0,4.067,4.433,0.0,0.0,0.0,0.366,4.067,,23641.734,,0.0,0.0,0.0,0.0,,,0.037,1.046,,,,,0.308,8.79,,,0.828,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.001,0.003,,0.0,0.0,0.0,0.0,0.0,,,,
47137,Tuvalu,2014,TUV,10922.0,,0.0,0.0,0.007,-0.004,-33.333,,,,,,,0.671,,,0.0,0.0,,,,0.0,0.234,,0.0,0.0,0.0,,0.234,,0.0,,0.0,0.0,0.0,0.0,1.831,1.831,,,0.01,0.916,0.0,0.0,0.007,0.671,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,,
47309,Uganda,2014,UGA,36336544.0,70033965056.0,0.393,0.011,4.09,0.335,8.926,12.847,-1.167,-8.328,0.354,0.183,0.485,0.113,0.058,0.154,0.0,0.0,6.529,0.18,0.093,5.281,74.794,2407.26,0.0,0.0,0.0,3370.001,69.513,,728.951,0.378,0.0,0.0,0.0,0.0,1.02,1.457,8.757,0.241,20.98,0.577,12.01,0.331,3.697,0.102,,,26.488,0.026,0.011,0.032,0.0,0.015,0.005,0.11,0.0,0.0,0.0,0.474,0.013,,0.0,0.0,0.178,0.032,,0.171,0.001,0.001,0.002,0.0,52.95,37.06,2.439,59.649
47485,Ukraine,2014,UKR,45148072.0,441258901504.0,3.299,0.073,257.511,-39.74,-13.369,262.237,-42.195,-13.86,5.808,0.594,0.217,5.704,0.584,0.213,138.373,3.065,225.364,4.992,0.511,374.416,29241.283,41960.883,16266.269,154.47,5855.226,13066.08,6495.745,95.157,26764.613,2.738,2.494,0.055,75.134,1.664,6.579,6.268,4.727,0.105,35.41,0.784,23.34,0.517,35.341,0.783,0.064,2.87,1208.371,0.22,0.724,0.648,0.919,1.097,1.971,1.916,2.317,0.989,2.892,1.836,1.245,1.256,0.643,1.129,0.096,0.303,0.941,1.517,0.004,0.017,0.022,0.001,282.98,297.02,-32.147,-12.484
47657,United Arab Emirates,2014,ARE,8835957.0,668160032768.0,7.16,0.81,201.713,-4.045,-1.966,201.603,-4.008,-1.949,22.816,0.302,0.178,22.829,0.302,0.178,7.482,0.847,238.007,26.936,0.356,106.258,3636.717,3638.732,29.473,408.135,2108.829,2.015,984.022,,127985.82,1.693,1.743,0.197,133.344,15.091,26.234,26.234,-0.11,-0.012,42.87,4.852,1.81,0.205,51.985,5.883,,,1130.877,0.477,0.567,0.498,0.05,0.311,0.245,0.166,0.004,2.612,1.041,0.0,0.189,,0.449,2.004,-0.002,0.445,,0.228,0.002,0.002,0.003,0.0,231.8,231.8,36.294,17.993
47929,United Kingdom,2014,GBR,64773504.0,2363952726016.0,4.215,0.065,438.807,-38.804,-8.125,439.467,-42.908,-8.895,6.785,0.186,0.196,6.774,0.186,0.196,115.434,1.782,598.352,9.238,0.253,493.578,75881.938,73408.078,56567.805,261.278,6078.803,1106.858,12385.902,94.577,34583.77,0.948,4.436,0.068,144.492,2.231,7.899,7.755,0.66,0.01,50.76,0.784,28.47,0.44,166.511,2.571,0.057,3.72,2240.112,0.281,1.233,1.085,0.767,1.446,5.115,3.351,8.058,1.672,3.002,0.156,2.374,1.248,1.144,2.171,0.013,1.426,1.22,2.677,0.004,0.033,0.039,0.002,502.35,511.66,159.545,36.359
48151,United States,2014,USA,322033952.0,16482662612992.0,39.439,0.122,5528.871,47.945,0.875,5561.737,100.816,1.846,17.271,0.337,0.214,17.169,0.335,0.213,1710.368,5.311,5842.337,18.142,0.354,2514.403,385708.719,509386.781,167101.516,1945.801,67541.008,123848.219,145368.188,1237.812,80725.086,1.577,64.171,0.199,1435.02,4.456,19.245,17.947,32.866,0.102,670.36,2.082,262.03,0.814,2247.448,6.979,0.101,32.425,25996.219,2.629,15.54,13.734,11.363,7.367,26.001,23.255,23.804,12.453,33.354,17.406,27.868,16.335,16.543,21.564,0.668,19.244,10.636,18.294,0.036,0.217,0.263,0.011,5779.54,6197.43,313.466,5.67
48323,United States Virgin Islands,2014,VIR,103393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.114,,,117629.797,,,,,,,,-0.073,,,,,,,,,,12.162,,,,,,,,,,,-0.0,,,,,-0.001,,,,,,,,,,,
48595,Upper-middle-income countries,2014,,2444604237.0,,964.879,0.395,15581.936,146.172,0.947,18034.6,647.449,3.724,7.376,0.536,0.298,6.372,0.463,0.257,8900.34,3.64,13664.85,5.588,0.406,15792.77,410584.781,779663.875,218218.719,5329.884,51234.758,406251.562,115517.406,4491.214,24167.732,,157.87,0.065,2019.091,0.826,8.137,7.642,2461.475,1.007,3273.27,1.339,1073.55,0.439,3339.326,1.366,0.082,200.431,59080.539,64.329,43.797,44.535,59.133,46.272,27.678,35.595,31.086,34.111,25.302,57.097,22.145,59.271,40.698,30.341,50.053,28.593,65.743,33.386,0.143,0.314,0.48,0.023,18681.801,19892.689,-1917.086,-12.303
48767,Uruguay,2014,URY,3391660.0,64374845440.0,0.327,0.096,6.684,-0.808,-10.785,17.42,-3.813,-17.956,5.136,0.271,0.269,1.971,0.104,0.103,0.004,0.001,11.389,3.358,0.177,18.55,332.825,487.08,4.064,0.0,2.008,489.767,308.204,,19071.291,1.005,0.0,0.0,0.092,0.027,10.888,8.854,10.736,3.165,21.52,6.345,8.21,2.421,6.262,1.846,,,64.683,0.022,0.019,0.043,0.0,0.054,0.022,0.022,0.001,0.0,0.001,0.069,0.059,,0.0,0.001,0.218,0.054,,0.145,0.001,0.001,0.002,0.0,30.03,36.93,4.705,70.384
48943,Uzbekistan,2014,UZB,30446542.0,262824624128.0,3.017,0.099,107.399,-4.882,-4.348,105.055,-3.783,-3.476,3.45,0.4,0.186,3.527,0.409,0.19,7.43,0.244,,,,145.059,5549.094,5966.421,509.27,42.178,3290.551,429.128,1562.035,,18518.158,2.145,2.446,0.08,84.416,2.773,5.456,5.353,-2.345,-0.077,45.25,1.486,14.92,0.49,10.09,0.331,,,563.814,0.201,0.302,0.259,0.049,0.425,0.374,0.272,0.073,0.27,1.625,0.06,0.299,,0.631,1.269,-0.048,0.086,,0.398,0.002,0.003,0.006,0.0,162.99,166.11,,
49115,Vanuatu,2014,VUT,269942.0,,0.0,0.0,0.154,0.048,44.828,-1.129,-0.136,13.653,-4.181,,-1.548,0.57,,0.211,0.0,0.0,,,,0.0,3.796,90.779,0.155,0.0,0.0,163.817,3.641,,2701.039,,0.0,0.0,0.0,0.0,2.927,2.927,-1.282,-4.751,0.48,1.778,0.14,0.519,0.154,0.57,,,0.729,0.0,0.0,-0.003,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.023,0.001,,0.0,0.0,-0.026,0.001,,0.005,0.0,0.0,0.0,0.0,0.79,0.79,,
49287,Venezuela,2014,VEN,30193260.0,598398271488.0,3.131,0.104,175.961,-22.466,-11.322,186.807,-31.149,-14.292,6.187,0.312,0.19,5.828,0.294,0.179,0.747,0.025,150.167,4.974,0.251,138.117,7013.347,11822.567,36.019,1173.504,2096.544,6547.604,3569.164,,32559.598,1.643,18.72,0.62,46.647,1.545,13.041,16.642,10.845,0.359,192.22,6.366,14.5,0.48,106.716,3.534,,,983.08,0.209,0.495,0.461,0.005,0.405,0.473,0.54,0.005,7.51,1.035,0.92,0.684,,4.826,0.701,0.221,0.914,,0.689,0.004,0.006,0.01,0.0,502.49,393.76,-25.794,-14.659
